sentence	label
To those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` Divine Secrets of the Ya-Ya Sisterhood , ' but that 's not saying much .	1
The verdict : Two bodies and hardly a laugh between them .	0
Adolescents will be adequately served by the movie 's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` topless tutorial service . '	1
One of the year 's best films , featuring an Oscar-worthy performance by Julianne Moore .	1
So muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style .	0
In a 102-minute film , Aaliyah gets at most 20 minutes of screen time .	0
Michel Piccoli 's moving performance is this films reason for being .	1
Is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?	0
Its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie 's presentation , which is way too stagy .	0
A loquacious and dreary piece of business .	0
Painful , horrifying and oppressively tragic , this film should not be missed .	1
There 's a heavy stench of ` been there , done that ' hanging over the film .	0
The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .	0
We admire this film for its harsh objectivity and refusal to seek our tears , our sympathies .	1
The movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the Holocaust escape story , Minac drains his movie of all individuality .	0
Not as well-written as Sexy Beast , not as gloriously flippant as Lock , Stock and Two Smoking Barrels , but stylish and moody and exceptionally well-acted .	1
If you are curious to see the darker side of what 's going on with young TV actors ( Dawson Leery did what ?!? ) , or see some interesting storytelling devices , you might want to check it out , but there 's nothing very attractive about this movie .	0
The premise itself is just SOOOOO tired .	0
With `` Ichi the Killer '' , Takashi Miike , Japan 's wildest filmmaker gives us a crime fighter carrying more emotional baggage than Batman ...	0
Austin Powers for the most part is extremely funny , the first part making up for any flaws that come later .	1
While Cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem .	1
At three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .	0
While centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the Yiddish theater , both in America and Israel .	1
Any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .	1
Nicely combines the enigmatic features of ` Memento ' with the hallucinatory drug culture of ` Requiem for a Dream . '	1
There is no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract .	0
One of the greatest films I 've ever seen .	1
This movie plays like an extended dialogue exercise in Retard 101 .	0
An exceptionally acted , quietly affecting cop drama .	1
This submarine drama earns the right to be favorably compared to Das Boot .	1
Instead of using George and Lucy 's most obvious differences to ignite sparks , Lawrence desperately looks elsewhere , seizing on George 's haplessness and Lucy 's personality tics .	0
A knowing look at female friendship , spiked with raw urban humor .	1
